filter,year,cases
1985-Present*,1990,27808
1985-Present*,2025,2285
1985-Present*,2003,56
1985-Present*,2007,43
1985-Present*,2018,381
1985-Present*,2015,191
1985-Present*,2023,59
1985-Present*,2006,55
1985-Present*,2022,121
1985-Present*,2013,187
1985-Present*,1988,3410
1985-Present*,1997,141
1985-Present*,1994,899
1985-Present*,2026,1575
1985-Present*,2014,667
1985-Present*,2019,1274
1985-Present*,2004,37
1985-Present*,1991,9643
1985-Present*,1996,492
1985-Present*,1989,17914
1985-Present*,1998,100
1985-Present*,1985,2822
1985-Present*,2020,13
1985-Present*,2012,55
1985-Present*,1987,3652
1985-Present*,2009,72
1985-Present*,2016,86
1985-Present*,1995,308
1985-Present*,2001,116
1985-Present*,2024,285
1985-Present*,1992,2126
1985-Present*,2005,66
1985-Present*,2000,85
1985-Present*,2010,63
1985-Present*,1986,6255
1985-Present*,2011,220
1985-Present*,2008,140
1985-Present*,2017,120
1985-Present*,1999,99
1985-Present*,2002,44
1985-Present*,2021,49
1985-Present*,1993,312