"Notes","Disease","Disease Code","Year","Year Code","States","States Code",Case Count
,"Measles, Total","10140","2016","2016","United States","U.S.",85
,"Measles, Total","10140","2016","2016","Alabama","01",1
,"Measles, Total","10140","2016","2016","Alaska","02",0
,"Measles, Total","10140","2016","2016","Arizona","04",31
,"Measles, Total","10140","2016","2016","Arkansas","05",0
,"Measles, Total","10140","2016","2016","California","06",24
,"Measles, Total","10140","2016","2016","Colorado","08",2
,"Measles, Total","10140","2016","2016","Connecticut","09",1
,"Measles, Total","10140","2016","2016","Delaware","10",0
,"Measles, Total","10140","2016","2016","District of Columbia","11",0
,"Measles, Total","10140","2016","2016","Florida","12",5
,"Measles, Total","10140","2016","2016","Georgia","13",1
,"Measles, Total","10140","2016","2016","Hawaii","15",1
,"Measles, Total","10140","2016","2016","Idaho","16",0
,"Measles, Total","10140","2016","2016","Illinois","17",2
,"Measles, Total","10140","2016","2016","Indiana","18",1
,"Measles, Total","10140","2016","2016","Iowa","19",0
,"Measles, Total","10140","2016","2016","Kansas","20",0
,"Measles, Total","10140","2016","2016","Kentucky","21",0
,"Measles, Total","10140","2016","2016","Louisiana","22",0
,"Measles, Total","10140","2016","2016","Maine","23",0
,"Measles, Total","10140","2016","2016","Maryland","24",1
,"Measles, Total","10140","2016","2016","Massachusetts","25",1
,"Measles, Total","10140","2016","2016","Michigan","26",1
,"Measles, Total","10140","2016","2016","Minnesota","27",2
,"Measles, Total","10140","2016","2016","Mississippi","28",0
,"Measles, Total","10140","2016","2016","Missouri","29",0
,"Measles, Total","10140","2016","2016","Montana","30",0
,"Measles, Total","10140","2016","2016","Nebraska","31",0
,"Measles, Total","10140","2016","2016","Nevada","32",0
,"Measles, Total","10140","2016","2016","New Hampshire","33",0
,"Measles, Total","10140","2016","2016","New Jersey","34",0
,"Measles, Total","10140","2016","2016","New Mexico","35",0
,"Measles, Total","10140","2016","2016","New York (excluding New York City)","36888",0
,"Measles, Total","10140","2016","2016","New York City","75772",1
,"Measles, Total","10140","2016","2016","North Carolina","37",1
,"Measles, Total","10140","2016","2016","North Dakota","38",0
,"Measles, Total","10140","2016","2016","Ohio","39",0
,"Measles, Total","10140","2016","2016","Oklahoma","40",0
,"Measles, Total","10140","2016","2016","Oregon","41",0
,"Measles, Total","10140","2016","2016","Pennsylvania","42",0
,"Measles, Total","10140","2016","2016","Rhode Island","44",0
,"Measles, Total","10140","2016","2016","South Carolina","45",0
,"Measles, Total","10140","2016","2016","South Dakota","46",0
,"Measles, Total","10140","2016","2016","Tennessee","47",7
,"Measles, Total","10140","2016","2016","Texas","48",1
,"Measles, Total","10140","2016","2016","Utah","49",1
,"Measles, Total","10140","2016","2016","Vermont","50",0
,"Measles, Total","10140","2016","2016","Virginia","51",0
,"Measles, Total","10140","2016","2016","Washington","53",0
,"Measles, Total","10140","2016","2016","West Virginia","54",0
,"Measles, Total","10140","2016","2016","Wisconsin","55",0
,"Measles, Total","10140","2016","2016","Wyoming","56",0
,"Measles, Total","10140","2016","2016","Territories","REGION10",0
,"Measles, Total","10140","2016","2016","American Samoa","60",0
,"Measles, Total","10140","2016","2016","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2016","2016","Guam","66",0
,"Measles, Total","10140","2016","2016","Puerto Rico","72",0
,"Measles, Total","10140","2016","2016","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2016","2016","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2017","2017","United States","U.S.",120
,"Measles, Total","10140","2017","2017","Alabama","01",0
,"Measles, Total","10140","2017","2017","Alaska","02",0
,"Measles, Total","10140","2017","2017","Arizona","04",0
,"Measles, Total","10140","2017","2017","Arkansas","05",0
,"Measles, Total","10140","2017","2017","California","06",15
,"Measles, Total","10140","2017","2017","Colorado","08",0
,"Measles, Total","10140","2017","2017","Connecticut","09",0
,"Measles, Total","10140","2017","2017","Delaware","10",0
,"Measles, Total","10140","2017","2017","District of Columbia","11",1
,"Measles, Total","10140","2017","2017","Florida","12",3
,"Measles, Total","10140","2017","2017","Georgia","13",0
,"Measles, Total","10140","2017","2017","Hawaii","15",0
,"Measles, Total","10140","2017","2017","Idaho","16",0
,"Measles, Total","10140","2017","2017","Illinois","17",0
,"Measles, Total","10140","2017","2017","Indiana","18",0
,"Measles, Total","10140","2017","2017","Iowa","19",0
,"Measles, Total","10140","2017","2017","Kansas","20",2
,"Measles, Total","10140","2017","2017","Kentucky","21",0
,"Measles, Total","10140","2017","2017","Louisiana","22",0
,"Measles, Total","10140","2017","2017","Maine","23",1
,"Measles, Total","10140","2017","2017","Maryland","24",1
,"Measles, Total","10140","2017","2017","Massachusetts","25",0
,"Measles, Total","10140","2017","2017","Michigan","26",2
,"Measles, Total","10140","2017","2017","Minnesota","27",75
,"Measles, Total","10140","2017","2017","Mississippi","28",0
,"Measles, Total","10140","2017","2017","Missouri","29",0
,"Measles, Total","10140","2017","2017","Montana","30",0
,"Measles, Total","10140","2017","2017","Nebraska","31",1
,"Measles, Total","10140","2017","2017","Nevada","32",0
,"Measles, Total","10140","2017","2017","New Hampshire","33",0
,"Measles, Total","10140","2017","2017","New Jersey","34",3
,"Measles, Total","10140","2017","2017","New Mexico","35",0
,"Measles, Total","10140","2017","2017","New York (excluding New York City)","36888",2
,"Measles, Total","10140","2017","2017","New York City","75772",2
,"Measles, Total","10140","2017","2017","North Carolina","37",0
,"Measles, Total","10140","2017","2017","North Dakota","38",0
,"Measles, Total","10140","2017","2017","Ohio","39",1
,"Measles, Total","10140","2017","2017","Oklahoma","40",0
,"Measles, Total","10140","2017","2017","Oregon","41",0
,"Measles, Total","10140","2017","2017","Pennsylvania","42",4
,"Measles, Total","10140","2017","2017","Rhode Island","44",0
,"Measles, Total","10140","2017","2017","South Carolina","45",0
,"Measles, Total","10140","2017","2017","South Dakota","46",0
,"Measles, Total","10140","2017","2017","Tennessee","47",0
,"Measles, Total","10140","2017","2017","Texas","48",1
,"Measles, Total","10140","2017","2017","Utah","49",3
,"Measles, Total","10140","2017","2017","Vermont","50",0
,"Measles, Total","10140","2017","2017","Virginia","51",0
,"Measles, Total","10140","2017","2017","Washington","53",3
,"Measles, Total","10140","2017","2017","West Virginia","54",0
,"Measles, Total","10140","2017","2017","Wisconsin","55",0
,"Measles, Total","10140","2017","2017","Wyoming","56",0
,"Measles, Total","10140","2017","2017","Territories","REGION10",0
,"Measles, Total","10140","2017","2017","American Samoa","60",0
,"Measles, Total","10140","2017","2017","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2017","2017","Guam","66",0
,"Measles, Total","10140","2017","2017","Puerto Rico","72",0
,"Measles, Total","10140","2017","2017","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2017","2017","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2018","2018","United States","U.S.",375
,"Measles, Total","10140","2018","2018","Alabama","01",0
,"Measles, Total","10140","2018","2018","Alaska","02",0
,"Measles, Total","10140","2018","2018","Arizona","04",0
,"Measles, Total","10140","2018","2018","Arkansas","05",1
,"Measles, Total","10140","2018","2018","California","06",22
,"Measles, Total","10140","2018","2018","Colorado","08",0
,"Measles, Total","10140","2018","2018","Connecticut","09",3
,"Measles, Total","10140","2018","2018","Delaware","10",0
,"Measles, Total","10140","2018","2018","District of Columbia","11",1
,"Measles, Total","10140","2018","2018","Florida","12",15
,"Measles, Total","10140","2018","2018","Georgia","13",0
,"Measles, Total","10140","2018","2018","Hawaii","15",0
,"Measles, Total","10140","2018","2018","Idaho","16",0
,"Measles, Total","10140","2018","2018","Illinois","17",5
,"Measles, Total","10140","2018","2018","Indiana","18",1
,"Measles, Total","10140","2018","2018","Iowa","19",0
,"Measles, Total","10140","2018","2018","Kansas","20",21
,"Measles, Total","10140","2018","2018","Kentucky","21",0
,"Measles, Total","10140","2018","2018","Louisiana","22",2
,"Measles, Total","10140","2018","2018","Maine","23",0
,"Measles, Total","10140","2018","2018","Maryland","24",1
,"Measles, Total","10140","2018","2018","Massachusetts","25",2
,"Measles, Total","10140","2018","2018","Michigan","26",19
,"Measles, Total","10140","2018","2018","Minnesota","27",3
,"Measles, Total","10140","2018","2018","Mississippi","28",0
,"Measles, Total","10140","2018","2018","Missouri","29",14
,"Measles, Total","10140","2018","2018","Montana","30",0
,"Measles, Total","10140","2018","2018","Nebraska","31",0
,"Measles, Total","10140","2018","2018","Nevada","32",2
,"Measles, Total","10140","2018","2018","New Hampshire","33",0
,"Measles, Total","10140","2018","2018","New Jersey","34",37
,"Measles, Total","10140","2018","2018","New Mexico","35",0
,"Measles, Total","10140","2018","2018","New York (excluding New York City)","36888",127
,"Measles, Total","10140","2018","2018","New York City","75772",60
,"Measles, Total","10140","2018","2018","North Carolina","37",3
,"Measles, Total","10140","2018","2018","North Dakota","38",0
,"Measles, Total","10140","2018","2018","Ohio","39",0
,"Measles, Total","10140","2018","2018","Oklahoma","40",3
,"Measles, Total","10140","2018","2018","Oregon","41",5
,"Measles, Total","10140","2018","2018","Pennsylvania","42",2
,"Measles, Total","10140","2018","2018","Rhode Island","44",0
,"Measles, Total","10140","2018","2018","South Carolina","45",6
,"Measles, Total","10140","2018","2018","South Dakota","46",0
,"Measles, Total","10140","2018","2018","Tennessee","47",1
,"Measles, Total","10140","2018","2018","Texas","48",9
,"Measles, Total","10140","2018","2018","Utah","49",0
,"Measles, Total","10140","2018","2018","Vermont","50",1
,"Measles, Total","10140","2018","2018","Virginia","51",1
,"Measles, Total","10140","2018","2018","Washington","53",8
,"Measles, Total","10140","2018","2018","West Virginia","54",0
,"Measles, Total","10140","2018","2018","Wisconsin","55",0
,"Measles, Total","10140","2018","2018","Wyoming","56",0
,"Measles, Total","10140","2018","2018","Territories","REGION10",0
,"Measles, Total","10140","2018","2018","American Samoa","60",0
,"Measles, Total","10140","2018","2018","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2018","2018","Guam","66",0
,"Measles, Total","10140","2018","2018","Puerto Rico","72",0
,"Measles, Total","10140","2018","2018","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2018","2018","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2019","2019","United States","U.S.",1275
,"Measles, Total","10140","2019","2019","Alabama","01",0
,"Measles, Total","10140","2019","2019","Alaska","02",1
,"Measles, Total","10140","2019","2019","Arizona","04",1
,"Measles, Total","10140","2019","2019","Arkansas","05",0
,"Measles, Total","10140","2019","2019","California","06",73
,"Measles, Total","10140","2019","2019","Colorado","08",1
,"Measles, Total","10140","2019","2019","Connecticut","09",4
,"Measles, Total","10140","2019","2019","Delaware","10",0
,"Measles, Total","10140","2019","2019","District of Columbia","11",0
,"Measles, Total","10140","2019","2019","Florida","12",3
,"Measles, Total","10140","2019","2019","Georgia","13",18
,"Measles, Total","10140","2019","2019","Hawaii","15",2
,"Measles, Total","10140","2019","2019","Idaho","16",2
,"Measles, Total","10140","2019","2019","Illinois","17",9
,"Measles, Total","10140","2019","2019","Indiana","18",1
,"Measles, Total","10140","2019","2019","Iowa","19",2
,"Measles, Total","10140","2019","2019","Kansas","20",0
,"Measles, Total","10140","2019","2019","Kentucky","21",2
,"Measles, Total","10140","2019","2019","Louisiana","22",0
,"Measles, Total","10140","2019","2019","Maine","23",2
,"Measles, Total","10140","2019","2019","Maryland","24",5
,"Measles, Total","10140","2019","2019","Massachusetts","25",3
,"Measles, Total","10140","2019","2019","Michigan","26",46
,"Measles, Total","10140","2019","2019","Minnesota","27",0
,"Measles, Total","10140","2019","2019","Mississippi","28",0
,"Measles, Total","10140","2019","2019","Missouri","29",1
,"Measles, Total","10140","2019","2019","Montana","30",0
,"Measles, Total","10140","2019","2019","Nebraska","31",0
,"Measles, Total","10140","2019","2019","Nevada","32",0
,"Measles, Total","10140","2019","2019","New Hampshire","33",1
,"Measles, Total","10140","2019","2019","New Jersey","34",19
,"Measles, Total","10140","2019","2019","New Mexico","35",1
,"Measles, Total","10140","2019","2019","New York (excluding New York City)","36888",306
,"Measles, Total","10140","2019","2019","New York City","75772",605
,"Measles, Total","10140","2019","2019","North Carolina","37",0
,"Measles, Total","10140","2019","2019","North Dakota","38",0
,"Measles, Total","10140","2019","2019","Ohio","39",1
,"Measles, Total","10140","2019","2019","Oklahoma","40",4
,"Measles, Total","10140","2019","2019","Oregon","41",25
,"Measles, Total","10140","2019","2019","Pennsylvania","42",17
,"Measles, Total","10140","2019","2019","Rhode Island","44",0
,"Measles, Total","10140","2019","2019","South Carolina","45",1
,"Measles, Total","10140","2019","2019","South Dakota","46",0
,"Measles, Total","10140","2019","2019","Tennessee","47",5
,"Measles, Total","10140","2019","2019","Texas","48",22
,"Measles, Total","10140","2019","2019","Utah","49",0
,"Measles, Total","10140","2019","2019","Vermont","50",0
,"Measles, Total","10140","2019","2019","Virginia","51",2
,"Measles, Total","10140","2019","2019","Washington","53",90
,"Measles, Total","10140","2019","2019","West Virginia","54",0
,"Measles, Total","10140","2019","2019","Wisconsin","55",0
,"Measles, Total","10140","2019","2019","Wyoming","56",0
,"Measles, Total","10140","2019","2019","Territories","REGION10",0
,"Measles, Total","10140","2019","2019","American Samoa","60",0
,"Measles, Total","10140","2019","2019","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2019","2019","Guam","66",0
,"Measles, Total","10140","2019","2019","Puerto Rico","72",0
,"Measles, Total","10140","2019","2019","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2019","2019","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2020","2020","United States","U.S.",12
,"Measles, Total","10140","2020","2020","Alabama","01",0
,"Measles, Total","10140","2020","2020","Alaska","02",0
,"Measles, Total","10140","2020","2020","Arizona","04",0
,"Measles, Total","10140","2020","2020","Arkansas","05",0
,"Measles, Total","10140","2020","2020","California","06",5
,"Measles, Total","10140","2020","2020","Colorado","08",0
,"Measles, Total","10140","2020","2020","Connecticut","09",0
,"Measles, Total","10140","2020","2020","Delaware","10",0
,"Measles, Total","10140","2020","2020","District of Columbia","11",1
,"Measles, Total","10140","2020","2020","Florida","12",1
,"Measles, Total","10140","2020","2020","Georgia","13",1
,"Measles, Total","10140","2020","2020","Hawaii","15",1
,"Measles, Total","10140","2020","2020","Idaho","16",0
,"Measles, Total","10140","2020","2020","Illinois","17",0
,"Measles, Total","10140","2020","2020","Indiana","18",0
,"Measles, Total","10140","2020","2020","Iowa","19",0
,"Measles, Total","10140","2020","2020","Kansas","20",0
,"Measles, Total","10140","2020","2020","Kentucky","21",0
,"Measles, Total","10140","2020","2020","Louisiana","22",0
,"Measles, Total","10140","2020","2020","Maine","23",0
,"Measles, Total","10140","2020","2020","Maryland","24",0
,"Measles, Total","10140","2020","2020","Massachusetts","25",1
,"Measles, Total","10140","2020","2020","Michigan","26",0
