Entity,Code,Year,"Births, total",Projected (Projected)
United States,USA,1950,3697926,
United States,USA,1951,3810644,
United States,USA,1952,3900093,
United States,USA,1953,3954926,
United States,USA,1954,4069617,
United States,USA,1955,4094908,
United States,USA,1956,4204606,
United States,USA,1957,4285950,
United States,USA,1958,4345661,
United States,USA,1959,4349362,
United States,USA,1960,4370880,
United States,USA,1961,4379242,
United States,USA,1962,4268551,
United States,USA,1963,4185449,
United States,USA,1964,4125771,
United States,USA,1965,3895103,
United States,USA,1966,3746479,
United States,USA,1967,3645103,
United States,USA,1968,3629481,
United States,USA,1969,3748362,
United States,USA,1970,3894161,
United States,USA,1971,3718310,
United States,USA,1972,3417716,
United States,USA,1973,3301844,
United States,USA,1974,3322229,
United States,USA,1975,3309291,
United States,USA,1976,3335451,
United States,USA,1977,3489832,
United States,USA,1978,3516171,
United States,USA,1979,3654688,
United States,USA,1980,3745108,
United States,USA,1981,3759893,
United States,USA,1982,3806566,
United States,USA,1983,3769043,
United States,USA,1984,3781908,
United States,USA,1985,3844129,
United States,USA,1986,3835775,
United States,USA,1987,3889634,
United States,USA,1988,3984018,
United States,USA,1989,4097527,
United States,USA,1990,4172065,
United States,USA,1991,4114563,
United States,USA,1992,4050344,
United States,USA,1993,3970052,
United States,USA,1994,3906002,
United States,USA,1995,3845004,
United States,USA,1996,3824283,
United States,USA,1997,3807342,
United States,USA,1998,3849741,
United States,USA,1999,3872873,
United States,USA,2000,3956650,
United States,USA,2001,3930346,
United States,USA,2002,3924849,
United States,USA,2003,3983291,
United States,USA,2004,4014648,
United States,USA,2005,4055468,
United States,USA,2006,4179497,
United States,USA,2007,4232701,
United States,USA,2008,4184010,
United States,USA,2009,4089073,
United States,USA,2010,3978953,
United States,USA,2011,3942528,
United States,USA,2012,3942569,
United States,USA,2013,3930896,
United States,USA,2014,3984348,
United States,USA,2015,3982193,
United States,USA,2016,3952809,
United States,USA,2017,3872480,
United States,USA,2018,3816077,
United States,USA,2019,3772693,
United States,USA,2020,3641990,
United States,USA,2021,3681202,
United States,USA,2022,3750379,
United States,USA,2023,3657476,
United States,USA,2024,,3654449
United States,USA,2025,,3663798
United States,USA,2026,,3673260
United States,USA,2027,,3677407
United States,USA,2028,,3690023
United States,USA,2029,,3705142
United States,USA,2030,,3722355
United States,USA,2031,,3738465
United States,USA,2032,,3759208
United States,USA,2033,,3785081
United States,USA,2034,,3804144
United States,USA,2035,,3832236
United States,USA,2036,,3861265
United States,USA,2037,,3881174
United States,USA,2038,,3902092
United States,USA,2039,,3921086
United States,USA,2040,,3928654
United States,USA,2041,,3931954
United States,USA,2042,,3925344
United States,USA,2043,,3918986
United States,USA,2044,,3904969
United States,USA,2045,,3896504
United States,USA,2046,,3871599
United States,USA,2047,,3846970
United States,USA,2048,,3826069
United States,USA,2049,,3802810
United States,USA,2050,,3786868
United States,USA,2051,,3770805
United States,USA,2052,,3755160
United States,USA,2053,,3745646
United States,USA,2054,,3736401
United States,USA,2055,,3730971
United States,USA,2056,,3729723
United States,USA,2057,,3728280
United States,USA,2058,,3729038
United States,USA,2059,,3736435
United States,USA,2060,,3746407
United States,USA,2061,,3755568
United States,USA,2062,,3764810
United States,USA,2063,,3777915
United States,USA,2064,,3791944
United States,USA,2065,,3806221
United States,USA,2066,,3821110
United States,USA,2067,,3836550
United States,USA,2068,,3850245
United States,USA,2069,,3862197
United States,USA,2070,,3876044
United States,USA,2071,,3878228
United States,USA,2072,,3884880
United States,USA,2073,,3882351
United States,USA,2074,,3885698
United States,USA,2075,,3886590
United States,USA,2076,,3886297
United States,USA,2077,,3886234
United States,USA,2078,,3884169
United States,USA,2079,,3876733
United States,USA,2080,,3868056
United States,USA,2081,,3859134
United States,USA,2082,,3853723
United States,USA,2083,,3848349
United States,USA,2084,,3843603
United States,USA,2085,,3842058
United States,USA,2086,,3840533
United States,USA,2087,,3838925
United States,USA,2088,,3839681
United States,USA,2089,,3846809
United States,USA,2090,,3852724
United States,USA,2091,,3852689
United States,USA,2092,,3861609
United States,USA,2093,,3866975
United States,USA,2094,,3873332
United States,USA,2095,,3884252
United States,USA,2096,,3891035
United States,USA,2097,,3902765
United States,USA,2098,,3905290
United States,USA,2099,,3913639
United States,USA,2100,,3914151